query,Post ID,Post Content,nickname,link
示威; 2018-02-09; 5; 10,1,		“近朱者赤，近墨者黑”，像内蒙古大学让冯福林（为了捞钱招生造假已经违纪违法至今逍遥法外不说，还在网上上蹿下跳很是活跃！）负责学生工作能搞好吗？更奇葩的是冯福林竟被内蒙古大学评为“教书育人”的先进！不知道内蒙古大学党委书记朱炳文之流想要干什么？向谁示威？这场闹剧还要演到何时收场？		,拯救内大,//weibo.com/2286908003/DkvmxqKJx?refer_flag=1001030103_
示威; 2018-02-09; 5; 10,2,	  【人民日报：有的领导怕丢面子，不愿听群众逆耳之言】有的领导怕掉架子，不愿和群众坐一条板凳；有的怕丢面子，不愿听群众的逆耳之言；还有的怕出乱子，不愿让群众知道太多的信息。这样的想法和做法都是不对的。 |人民日报：... ​	,NA,//weibo.com/1986080860/G2jtkgd1O?refer_flag=1001030103_
示威; 2018-02-09; 5; 10,3,		// #QQ看点#【普京再次连任：引发俄罗斯爆全国反普京示威】海外网    2018-01-28 20:00:57海外网1......网页链接 |上海·长兴... ​		,冯维恒,//weibo.com/2162990923/G2jqxF4kj?refer_flag=1001030103_
示威; 2018-02-09; 5; 10,4,		这是流动性的事吗？！这不就是绑架、示威吗？！市场真正需要的是人气，是信心！		,安德里娅呀呀呀,//weibo.com/1649470535/G2jlWfmFx?refer_flag=1001030103_
示威; 2018-02-09; 5; 10,5,	  【但斌董少鹏等八大V呼吁：请央行立即释放流动性】 ​	,NA,//weibo.com/1866258401/G2jpYgZAG?refer_flag=1001030103_
示威; 2018-02-09; 5; 10,6,		//@全志愿小天使:哈哈哈哈上车！兄弟们！//@深度燦瘟小朋友:哇 阔爱//@当然不奇怪:上街示威的感觉,想养金羊驼的Yxy,//weibo.com/2692977802/G2eZYEE69?refer_flag=1001030103_
示威; 2018-02-09; 5; 10,7,	  笑死我了哈哈哈哈举手这个是什么鬼 啊跳__的秒... ​	,NA,//weibo.com/3637182111/G2jiDsIL5?refer_flag=1001030103_
示威; 2018-02-09; 5; 10,8,		谁再反对特朗普，立马决定阅兵示威//@环球市场播报: 【快讯】美国政府开始部分停摆。实时财经新闻 网页链接 更多财经直播 网页链接,YHZXDWB,//weibo.com/1640337222/G2iRc2j6O?refer_flag=1001030103_
示威; 2018-02-09; 5; 10,9,	  【美政府再次停摆 系特朗普政府第二次】9日，在僵持数小时后，由于共和党参议员兰德·保罗反对，美国参议院最终没能就新财政预算拨款案投票，特朗普政府将再次关门。在参议院僵持的数小时中，特朗普仍在推文就通俄门谴责“邪恶的希拉里”。|美政府再次... ​	,NA,//weibo.com/1213785842/G2jhphpPe?refer_flag=1001030103_
示威; 2018-02-09; 5; 10,10,		【黄之锋等获释引港人不满 香港市民敦促严惩“港独”】黄之锋、罗冠聪、周永康冲击香港特区政府总部东翼前地案上诉维持原判。香港政界人士担心，“占中黑手”戴耀廷等或会获轻判，他们认为应对戴等人予以重判，以免纵容暴力冲击，损害法治，贻害未来。香港市民团体8日下午到特区终审示威，促请法院严惩 ​			...展开全文c,人民日报海外版-海外网,//weibo.com/3057540037/G2j6mgGhO?refer_flag=1001030103_
示威; 2018-02-09; 5; 10,11,		5555555//@艾欧尼亚第一赵信:想把李汭燦偷回家QAQ怎么可以这么可爱呜呜呜//@全志愿小天使: 哈哈哈哈上车！兄弟们！//@深度燦瘟小朋友:哇 阔爱//@当然不奇怪:上街示威的感觉,酸酸酸酸酸豆九诶西,//weibo.com/2692977802/G2eZYEE69?refer_flag=1001030103_
示威; 2018-02-09; 5; 10,12,	  笑死我了哈哈哈哈举手这个是什么鬼 啊跳__的秒... ​	,NA,//weibo.com/1993913265/G2j4msiiy?refer_flag=1001030103_
示威; 2018-02-09; 5; 10,13,		哈哈哈哈你个傻子//@一只汤圆精OvO:哈哈哈哈这个小可爱//@全志愿小天使:哈哈哈哈上车！兄弟们！//@深度燦瘟小朋友:哇 阔爱//@当然不奇怪:上街示威的感觉,HeartShakerr,//weibo.com/2692977802/G2eZYEE69?refer_flag=1001030103_
示威; 2018-02-09; 5; 10,14,	  笑死我了哈哈哈哈举手这个是什么鬼 啊跳__的秒... ​	,NA,//weibo.com/5258158643/G2j3tuB3J?refer_flag=1001030103_
