query,Post ID,Post Content,nickname,link
污染; 2018-02-20; 1; 25,1,		白领4招防办公室污染①多通风勤打扫；②摆放绿色植物；③养成良好办公习惯；④饮食调节，多吃“三抗食物”：抗粉尘吃鸡、鸭、猪血，抗金属食用牛SVX947奶、豆腐，抗辐射多吃海带等蔬菜。 ​		,微微安细,//weibo.com/6427383568/G3WDtam8C?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,2,#罗晋归去来# #罗晋书澈# 书澈，名副其实的未来精英，是刷新国人对官二代“坑爹败家熊孩子”既定认识的观念颠覆者，是家族和爱情被权商利益污染、出污泥而不染的一抹洁白@罗晋 ​		,晋善晋美的小鱼儿,//weibo.com/6233413918/G3WDt6nXl?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,3,		想起来之前的可达鸭2333精神污染精神污染//@幻兽型易然:就MMD啊……建模比较难，剩下的都是套动作量产的东西//@A君_舘这个字念Tachi_sleep:？？？//@教日语的小慌先生:啊啊啊？这啥软件做的？我也想学做一个！万能微博圈有知道的吗？		,奶盖不是奶,//weibo.com/2405882795/G3P9CDMPd?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,4,	  蛙儿子竟然会跳极乐净土！该不会天天在外面用这风骚的舞姿撩妹吧http://t.cn/RRBGq4u ​​​	,NA,//weibo.com/1959122581/G3WDrDIWs?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,5,		这样的人还是别结婚生子了！污染世界！,云舒出世,//weibo.com/3955358362/G3PPB2nWw?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,6,	  【这是一群什么生物？】http://t.cn/RRKGKZ5 ​	,NA,//weibo.com/1023801874/G3WDgntvI?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,7,#临港天气#今天2018年2月20日，星期二，农历正月初五。天气阴转雨夹雪，温度－2～9℃，东北风3～4级。空气质量指数86，空气质量指数等级良，主要污染物PM2.5。早安！[噢耶] ​		,临沂临港发布,//weibo.com/3687050977/G3WDe1MRr?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,8,		【卡隆海滩】卡隆海滩位于帕通海滩南，是普吉#中国赞#岛第三大海滩，也是岛上最长的海滩之一。卡隆海滩，不若巴通那般热闹喧哗，倒像是一座海水浴场。无污染的沙质海滩就像一个白色的勺子蜿蜒在海边。沿着海滩是一大片松木林，腹地很宽，游客要不戏水、晒太阳，要不就是坐在躺椅上看书、打盹，惬意至极 ​			...展开全文c,谁覀来解爱之谜,//weibo.com/1843850772/G3WD9hY9O?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,9,#中国赞##梦想独立团，骑行渭河全程##九载寻梦，重访渭河##绿色联盟#2012.4.24，清早从宝鸡出发，一路狂奔，中午到达蔡家坡，渭滨路上，股股恶臭，排污口明暗相间，渭河污染的迹象从这里始。下午五点到达杨凌，明天赶往西安。 ​		,爱顿堡,//weibo.com/3223298767/G3WD3oWX3?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,10,		一次不公正的审判，其恶果甚至超过十次犯罪。因为犯罪虽然无视法律 ——好比污染了水流，而不公正的审判则毁坏法律——好比污染了水源。 ​		,饱饱的眼眸宝贝,//weibo.com/6433809775/G3WCYoALu?refer_flag=1001030103_
